iter	MultiClass
221	-0.6773362633
222	-0.6772164209
223	-0.6771179218
224	-0.6769972308
225	-0.6768704001
226	-0.676751058
227	-0.676654823
228	-0.6765800938
229	-0.6764781246
230	-0.6763482072
231	-0.6762244473
232	-0.6761298625
233	-0.676034132
234	-0.6759148547
235	-0.6758066534
236	-0.6756831681
237	-0.6755941115
238	-0.6754947426
239	-0.6753744901
240	-0.6752472578
241	-0.6751589559
242	-0.675085053
243	-0.6750343399
244	-0.674954388
245	-0.6748812889
246	-0.6748204329
247	-0.6747571836
248	-0.6746764389
249	-0.6746055596
250	-0.6745475346
251	-0.6744649208
252	-0.6743306285
253	-0.6742558857
254	-0.6741797983
255	-0.674143934
256	-0.6740516595
257	-0.6739844376
258	-0.6739092334
259	-0.6738280446
260	-0.6737645474
261	-0.673724706
262	-0.6736630703
263	-0.6736186549
264	-0.6735281101
265	-0.6734612084
266	-0.6733640584
267	-0.6732973419
268	-0.6732362913
269	-0.6731638051
270	-0.6730670161
271	-0.6730181584
272	-0.6729599282
273	-0.6728960056
274	-0.6728291351
275	-0.6727445097
276	-0.6727036196
277	-0.6726496828
278	-0.6725607675
279	-0.6725035756
280	-0.6724442958
281	-0.6723760656
282	-0.6723362565
283	-0.6722581142
284	-0.6722004443
285	-0.6721423712
286	-0.6720917724
287	-0.6720412361
288	-0.6719971322
289	-0.6719610668
290	-0.6719188844
291	-0.6718718545
292	-0.6718266892
293	-0.6717627999
294	-0.6717090389
295	-0.6716524317
296	-0.6715814826
297	-0.671534416
298	-0.6714492227
299	-0.6713974116
300	-0.6713622601
301	-0.67132564
302	-0.6712911448
303	-0.6712571115
304	-0.6712111911
305	-0.671160486
306	-0.6711222955
307	-0.6710760661
308	-0.6710366211
309	-0.670987486
310	-0.6709226758
311	-0.6708812944
312	-0.670841554
313	-0.6708000525
314	-0.6707631191
315	-0.6707300895
316	-0.670669209
317	-0.6706221869
318	-0.6705926673
319	-0.670539614
320	-0.6704857931
321	-0.6704463932
322	-0.6704151545
323	-0.6703746922
324	-0.6703222605
325	-0.6702598734
326	-0.6701952816
327	-0.67016626
328	-0.6701165801
329	-0.6700697789
330	-0.6700202462
331	-0.6699757554
332	-0.6699379022
333	-0.6698864884
334	-0.6698419663
335	-0.6698061477
336	-0.6697845045
337	-0.6697463557
338	-0.6697065572
339	-0.6696538007
340	-0.6696173885
341	-0.6695517833
342	-0.6695098924
343	-0.6694617452
344	-0.6694165447
345	-0.6693674488
346	-0.6693219049
347	-0.6692802191
348	-0.6692372961
349	-0.6692089242
350	-0.6691743414
351	-0.6691336783
352	-0.6691020527
353	-0.6690619512
354	-0.6690297142
355	-0.6689932219
356	-0.6689399776
357	-0.6689008797
358	-0.6688712236
359	-0.6688201141
360	-0.6687880973
361	-0.6687565493
362	-0.6687298267
363	-0.6686763957
364	-0.6686336144
365	-0.6685984664
366	-0.6685582459
367	-0.6685252484
368	-0.6684806527
369	-0.6684455098
370	-0.6684096106
371	-0.6683606852
372	-0.6683309424
373	-0.6682979635
374	-0.6682669957
375	-0.6682435952
376	-0.6682047912
377	-0.6681634875
378	-0.6681249565
379	-0.6680974248
380	-0.6680670952
381	-0.668019416
382	-0.6679905611
383	-0.6679687266
384	-0.6679418409
385	-0.6678935127
386	-0.667855314
387	-0.6678025303
388	-0.6677852183
389	-0.6677382851
390	-0.6677060186
391	-0.6676633872
392	-0.6676363685
393	-0.6676024497
394	-0.6675781714
395	-0.6675504985
396	-0.6675164067
397	-0.6674835978
398	-0.6674575499
399	-0.667435201
400	-0.667393072
401	-0.6673715585
402	-0.6673399341
403	-0.667312269
404	-0.6672690063
405	-0.6672447489
406	-0.6672141963
407	-0.6671876546
408	-0.6671566641
409	-0.6671357123
410	-0.6671126293
411	-0.6670710269
412	-0.6670400017
413	-0.6670152299
414	-0.6669736921
415	-0.66694473
416	-0.6669190188
417	-0.6668941757
418	-0.6668517535
419	-0.6668063626
420	-0.666784488
421	-0.6667578617
422	-0.6667152475
423	-0.6666830295
424	-0.6666232881
425	-0.6665980719
426	-0.6665549104
427	-0.6665198985
428	-0.6664990313
429	-0.6664738587
430	-0.666445971
431	-0.6664166623
432	-0.6663791352
433	-0.666340011
434	-0.6663173501
435	-0.6662853158
436	-0.666261065
437	-0.6662270838
438	-0.666187755
439	-0.6661550898
440	-0.6661302483
441	-0.6661040372
442	-0.6660781003
443	-0.6660409286
444	-0.6660176962
445	-0.6659903923
446	-0.6659705678
447	-0.6659460468
448	-0.6659141153
449	-0.6658892092
450	-0.6658593168
451	-0.6658363233
452	-0.6657943124
453	-0.6657682421
454	-0.6657420003
455	-0.6657138379
456	-0.6656905709
457	-0.6656623858
458	-0.6656358883
459	-0.6655981393
460	-0.6655604774
461	-0.6655333468
462	-0.6655048002
463	-0.6654835285
464	-0.6654582634
465	-0.6654263621
466	-0.665392605
467	-0.6653656453
468	-0.6653307502
469	-0.6653107101
470	-0.6652652507
471	-0.6652410155
472	-0.6652186008
473	-0.6651910886
474	-0.6651706648
475	-0.6651531529
476	-0.6651305568
477	-0.6651035254
478	-0.665083712
479	-0.6650632194
480	-0.6650465767
481	-0.6650139032
482	-0.664979961
483	-0.6649295726
484	-0.6649060345
485	-0.6648832542
486	-0.6648537146
487	-0.6648322406
488	-0.6648163732
489	-0.6647985424
490	-0.6647688359
491	-0.6647399461
492	-0.6647065329
493	-0.6646729397
494	-0.6646438655
495	-0.6646119384
496	-0.6645886226
497	-0.6645586629
498	-0.6645326172
499	-0.6645085005
500	-0.6644932321
501	-0.6644709755
502	-0.6644491703
503	-0.6644202582
504	-0.6643933934
505	-0.6643652047
506	-0.664342518
507	-0.6643226381
508	-0.6642979131
509	-0.664276762
510	-0.6642333925
511	-0.6642152633
512	-0.6641878094
513	-0.6641573998
514	-0.6641343475
515	-0.6640989825
516	-0.6640775248
517	-0.6640582151
518	-0.6640368646
519	-0.6640185739
520	-0.663998994
521	-0.6639825832
522	-0.6639508354
523	-0.6639255591
524	-0.6638999309
525	-0.6638719297
526	-0.6638535836
527	-0.6638269931
528	-0.663803962
529	-0.6637783569
530	-0.6637559299
531	-0.6637392065
532	-0.6637220389
533	-0.6637012616
534	-0.6636691298
535	-0.6636479731
536	-0.6636276455
537	-0.6636027237
538	-0.6635709111
539	-0.6635450865
540	-0.6635278302
541	-0.663499141
542	-0.6634721908
543	-0.6634519289
544	-0.6634254576
545	-0.6634073169
546	-0.6633697609
547	-0.6633420005
548	-0.6633222937
549	-0.6633053135
550	-0.6632860458
551	-0.6632665268
552	-0.6632463024
553	-0.663231009
554	-0.6631985669
555	-0.6631698168
556	-0.6631399014
557	-0.6631203809
558	-0.6630970229
559	-0.6630678385
560	-0.6630516506
561	-0.6630300596
562	-0.6630173289
563	-0.6629903411
564	-0.6629628332
565	-0.6629301226
566	-0.6629015918
567	-0.6628835269
568	-0.6628634106
569	-0.6628345101
570	-0.6627951735
571	-0.6627768367
572	-0.6627567781
573	-0.662742474
574	-0.6627160368
575	-0.662695942
576	-0.6626734114
577	-0.6626444451
578	-0.6626299793
579	-0.6626076748
580	-0.6625861894
581	-0.6625675834
582	-0.6625553622
583	-0.6625206408
584	-0.6625018598
585	-0.6624721647
586	-0.6624535945
587	-0.6624356122
588	-0.6624166298
589	-0.6623946213
590	-0.662366658
591	-0.6623497175
592	-0.6623324582
593	-0.6623191064
594	-0.6622990934
595	-0.6622834044
596	-0.6622543303
597	-0.6622361753
598	-0.6622145403
599	-0.662195203
600	-0.6621724823
601	-0.6621592741
602	-0.6621434623
603	-0.6621181237
604	-0.6620966142
605	-0.6620759762
606	-0.6620489453
607	-0.6620314512
608	-0.6620107892
609	-0.6619874322
610	-0.6619696433
611	-0.6619435439
612	-0.6619260869
613	-0.6619014018
614	-0.6618866161
615	-0.6618608245
616	-0.6618418318
617	-0.6618262968
618	-0.6618092149
619	-0.6617897764
620	-0.6617715842
621	-0.6617519518
622	-0.6617312683
623	-0.6617185236
624	-0.6616874237
625	-0.661674308
626	-0.6616561857
627	-0.6616425233
628	-0.6616114991
629	-0.6615928403
630	-0.6615620891
631	-0.6615416141
632	-0.6615254696
633	-0.6614991578
634	-0.6614793202
635	-0.6614646898
636	-0.6614513211
637	-0.6614355701
638	-0.6614190888
639	-0.6613882365
640	-0.6613668755
641	-0.661347388
642	-0.6613356919
643	-0.6613188176
644	-0.6612953101
645	-0.6612747407
646	-0.6612591285
647	-0.6612347585
648	-0.6612192445
649	-0.6612065801
650	-0.6611866666
651	-0.6611692662
652	-0.6611541764
653	-0.661140121
654	-0.6611264668
655	-0.661108921
656	-0.6610904506
657	-0.6610698546
658	-0.6610498083
659	-0.6610237203
660	-0.6609987107
661	-0.660983733
662	-0.6609663926
663	-0.6609502932
664	-0.6609289723
665	-0.6608948241
666	-0.6608761362
667	-0.6608634112
668	-0.6608338038
669	-0.6608058736
670	-0.6607856111
671	-0.6607610076
672	-0.6607464674
673	-0.6607285983
674	-0.6607070457
675	-0.6606886727
676	-0.6606686367
677	-0.6606534289
678	-0.6606343729
679	-0.6606218179
680	-0.6606064387
681	-0.6605834356
682	-0.6605699327
683	-0.6605545459
684	-0.6605356275
685	-0.6605100627
686	-0.6604844663
687	-0.6604571649
688	-0.6604332573
689	-0.660421391
690	-0.6604064252
691	-0.6603897141
692	-0.6603702188
693	-0.6603537745
694	-0.6603399154
695	-0.6603207121
696	-0.6603084391
697	-0.6602950598
698	-0.660272648
699	-0.6602557075
700	-0.6602371764
701	-0.6602182503
702	-0.6602046798
703	-0.6601870102
704	-0.6601606397
705	-0.6601464493
706	-0.6601194786
707	-0.6601034622
708	-0.6600907024
709	-0.6600774709
710	-0.6600606196
711	-0.6600388437
712	-0.66001949
713	-0.6600046301
714	-0.6599816129
715	-0.6599696552
716	-0.659948265
717	-0.6599140746
718	-0.6598864332
719	-0.6598708115
720	-0.6598495788
721	-0.6598349061
722	-0.6598141055
723	-0.659784903
724	-0.6597675651
725	-0.6597431383
726	-0.6597228273
727	-0.659707646
728	-0.6596918483
729	-0.6596705312
730	-0.6596550886
731	-0.6596396548
732	-0.6596262411
733	-0.6596092603
734	-0.6595917794
735	-0.6595751319
736	-0.6595476225
737	-0.6595195325
738	-0.6595001344
739	-0.6594723595
740	-0.6594626847
741	-0.6594433544
742	-0.6594304139
743	-0.659415205
744	-0.6593949523
745	-0.6593754106
746	-0.6593640861
747	-0.6593487081
748	-0.6593210167
749	-0.6593065437
750	-0.6592901297
751	-0.6592719458
752	-0.6592492895
753	-0.6592188145
754	-0.6592021766
755	-0.6591766658
756	-0.6591567767
757	-0.6591477725
758	-0.6591362941
759	-0.6591241446
760	-0.6591108758
761	-0.659091639
762	-0.6590761794
763	-0.6590607961
764	-0.6590314029
765	-0.6589972447
766	-0.6589828238
767	-0.6589686125
768	-0.6589569488
769	-0.6589405377
770	-0.6589254364
771	-0.6589108101
772	-0.6589012591
773	-0.6588844447
774	-0.658869885
775	-0.6588552905
776	-0.6588408338
777	-0.6588184142
778	-0.658797534
779	-0.6587798053
780	-0.6587631935
781	-0.6587482128
782	-0.6587353022
783	-0.6587239129
784	-0.6587113456
785	-0.6586962069
786	-0.6586790951
787	-0.6586599255
788	-0.6586490129
789	-0.6586325855
790	-0.6586143416
791	-0.6585950444
792	-0.65857658
793	-0.6585695294
794	-0.6585440086
795	-0.6585301641
796	-0.658508763
797	-0.6584937465
798	-0.6584768894
799	-0.6584595757
800	-0.6584470613
801	-0.6584322732
802	-0.6584129915
803	-0.6584039547
804	-0.6583899571
805	-0.6583731964
806	-0.6583594126
807	-0.6583499801
808	-0.6583197311
809	-0.6583079788
810	-0.6582919654
811	-0.6582802544
812	-0.6582663686
813	-0.6582472871
814	-0.6582334167
815	-0.6582154733
816	-0.6581864172
817	-0.6581705645
818	-0.6581438465
819	-0.6581304362
820	-0.6581170725
821	-0.6580925326
822	-0.6580792628
823	-0.6580671891
824	-0.6580473479
825	-0.658034381
826	-0.6580163757
827	-0.6580060927
828	-0.6579871308
829	-0.6579737496
830	-0.6579487908
831	-0.6579365176
832	-0.6579202399
833	-0.6579044731
834	-0.657890983
835	-0.6578720825
836	-0.6578490183
837	-0.6578391285
838	-0.6578237759
839	-0.6577998619
840	-0.6577777443
841	-0.6577618735
842	-0.6577459773
843	-0.657727625
844	-0.6577032042
845	-0.6576851862
846	-0.65767336
847	-0.6576515358
848	-0.6576354486
849	-0.6576210386
850	-0.6576062795
851	-0.6575960919
852	-0.6575837764
853	-0.6575649462
854	-0.6575518609
855	-0.6575345244
856	-0.657518849
857	-0.657508371
858	-0.6574973915
859	-0.6574846161
860	-0.6574688901
861	-0.6574530903
862	-0.6574317177
863	-0.6574144179
864	-0.6573930783
865	-0.6573729064
866	-0.6573536187
867	-0.6573368857
868	-0.6573164342
869	-0.657306111
870	-0.6572880864
871	-0.6572570366
872	-0.6572375079
873	-0.6572164841
874	-0.6571854783
875	-0.6571687348
876	-0.657153147
877	-0.6571327023
878	-0.6571122479
879	-0.6570982835
880	-0.6570763543
881	-0.6570659236
882	-0.6570527736
883	-0.6570328727
884	-0.6570187671
885	-0.6570054031
886	-0.656991161
887	-0.6569793603
888	-0.6569590662
889	-0.65694867
890	-0.6569322303
891	-0.656910334
892	-0.6568907366
893	-0.6568739495
894	-0.656841108
895	-0.656817651
896	-0.6567924367
897	-0.6567693601
898	-0.6567579416
899	-0.6567372274
900	-0.6567216471
901	-0.6567057422
902	-0.6566767933
903	-0.6566581359
904	-0.6566489924
905	-0.6566341564
906	-0.6566185288
907	-0.6566093572
908	-0.65658775
909	-0.6565799618
910	-0.6565572801
911	-0.6565341176
912	-0.6565225471
913	-0.6564931309
914	-0.6564751436
915	-0.6564588207
916	-0.6564457297
917	-0.6564295289
918	-0.6564166235
919	-0.6563971346
920	-0.6563769813
921	-0.6563665237
922	-0.6563529272
923	-0.6563348981
924	-0.6563213638
925	-0.6563058216
926	-0.6562909802
927	-0.6562700018
928	-0.6562590154
929	-0.656247338
930	-0.6562212337
931	-0.6562052161
932	-0.6561908631
933	-0.6561801943
934	-0.656161138
935	-0.6561408722
936	-0.6561249481
937	-0.65611205
938	-0.6560981822
939	-0.6560897901
940	-0.6560715203
941	-0.6560568287
942	-0.6560397426
943	-0.6560240235
944	-0.6560099963
945	-0.6559990005
946	-0.6559847007
947	-0.6559619238
948	-0.6559470012
949	-0.6559273035
950	-0.6559156817
951	-0.6559003386
952	-0.6558870353
953	-0.6558705873
954	-0.6558475187
955	-0.6558396253
956	-0.6558186241
957	-0.655803618
958	-0.6557889076
959	-0.6557713393
960	-0.6557486571
961	-0.655736712
962	-0.6557247754
963	-0.6557145323
964	-0.6557038441
965	-0.6556906308
966	-0.6556770989
967	-0.655662244
968	-0.6556532903
969	-0.6556417959
970	-0.6556279187
971	-0.6556169191
972	-0.6556010278
973	-0.6555804742
974	-0.6555651737
975	-0.6555553542
976	-0.6555397454
977	-0.6555209563
978	-0.6555098757
979	-0.6554904697
980	-0.6554755291
981	-0.6554588484
982	-0.6554472979
983	-0.6554319934
984	-0.6554221371
985	-0.6554139907
986	-0.6553827138
987	-0.6553664542
988	-0.6553524181
989	-0.655339975
990	-0.6553304765
991	-0.6553147224
992	-0.6553040042
993	-0.655293011
994	-0.6552801881
995	-0.6552593529
996	-0.6552476588
997	-0.655232921
998	-0.6552126272
999	-0.6551981497
1000	-0.655177966
1001	-0.6551638437
1002	-0.6551552567
1003	-0.6551365549
1004	-0.6551289532
1005	-0.6551067548
1006	-0.6550905772
1007	-0.655065804
1008	-0.6550517067
1009	-0.6550401658
1010	-0.6550315078
1011	-0.6550176195
1012	-0.6550015
1013	-0.6549833295
1014	-0.6549671614
1015	-0.6549472504
1016	-0.654932727
1017	-0.6549209865
1018	-0.6549096756
1019	-0.6548987118
1020	-0.6548880602
1021	-0.6548795742
1022	-0.6548697031
1023	-0.6548438684
1024	-0.6548234632
1025	-0.6548132292
1026	-0.6548034825
1027	-0.6547880615
1028	-0.654774578
1029	-0.6547630269
1030	-0.654753974
1031	-0.6547383766
1032	-0.6547186582
1033	-0.6547067078
1034	-0.6546934216
1035	-0.6546800809
1036	-0.6546669443
1037	-0.6546511827
1038	-0.6546407595
1039	-0.6546225968
1040	-0.6546138595
1041	-0.6545958585
1042	-0.6545835427
1043	-0.6545709527
1044	-0.6545586655
1045	-0.654532156
1046	-0.6545192561
1047	-0.6545080332
1048	-0.6544927629
1049	-0.6544789505
1050	-0.6544623914
1051	-0.6544523882
1052	-0.6544357815
1053	-0.6544145544
1054	-0.6544000263
1055	-0.6543880063
1056	-0.6543735318
1057	-0.6543646247
1058	-0.6543508906
1059	-0.6543287005
1060	-0.6543156109
1061	-0.6543061171
1062	-0.6542945625
1063	-0.6542818488
1064	-0.6542651302
1065	-0.6542484504
1066	-0.6542373027
1067	-0.6542222777
1068	-0.6542008768
1069	-0.6541857492
1070	-0.6541739021
1071	-0.654159846
1072	-0.6541523083
1073	-0.6541438343
1074	-0.6541222971
1075	-0.6541056646
1076	-0.6540864366
1077	-0.6540708135
1078	-0.6540589435
1079	-0.654037994
1080	-0.6540309704
1081	-0.6540056261
1082	-0.653981987
1083	-0.6539662973
1084	-0.6539502969
1085	-0.6539375944
1086	-0.6539214997
1087	-0.6539031544
1088	-0.6538835138
1089	-0.6538623059
1090	-0.6538523751
1091	-0.653838416
1092	-0.6538131082
1093	-0.6537993445
1094	-0.6537806727
1095	-0.6537660704
1096	-0.653749968
1097	-0.6537408455
1098	-0.6537313642
1099	-0.6537207979
1100	-0.6537121034
1101	-0.6536926537
1102	-0.6536742642
1103	-0.6536604842
1104	-0.6536487932
1105	-0.653628863
1106	-0.6536143518
1107	-0.6536068693
1108	-0.6535976532
1109	-0.6535886422
1110	-0.6535762421
1111	-0.6535595433
1112	-0.6535489244
1113	-0.6535316814
1114	-0.6535187108
1115	-0.6535052311
1116	-0.6534837559
1117	-0.653470244
1118	-0.6534569647
1119	-0.6534435397
1120	-0.6534326308
1121	-0.6534161517
1122	-0.6534072339
1123	-0.6533937545
1124	-0.6533804168
1125	-0.6533622414
1126	-0.6533507151
1127	-0.6533336099
1128	-0.6533188905
1129	-0.6533040985
1130	-0.6532897789
1131	-0.6532764983
1132	-0.6532627059
1133	-0.6532478243
1134	-0.6532264994
1135	-0.6532129447
1136	-0.6532035303
1137	-0.6531888507
1138	-0.6531775194
1139	-0.6531622249
1140	-0.6531440398
1141	-0.6531336463
1142	-0.6531213639
1143	-0.6531061956
1144	-0.6530805837
1145	-0.6530584306
1146	-0.6530437536
1147	-0.65303522
1148	-0.6530232232
1149	-0.6530081899
1150	-0.6529984833
1151	-0.6529880758
1152	-0.65296731
1153	-0.6529536286
1154	-0.6529344347
1155	-0.6529218741
1156	-0.6529104248
1157	-0.6529011499
1158	-0.6528893153
1159	-0.6528798381
1160	-0.6528672197
1161	-0.6528588429
1162	-0.6528445127
1163	-0.6528319192
1164	-0.6528204188
1165	-0.6528093289
1166	-0.6527883447
1167	-0.6527702483
1168	-0.6527606647
1169	-0.6527472179
1170	-0.6527385224
1171	-0.6527269974
1172	-0.6527095024
1173	-0.6526909415
1174	-0.6526757368
1175	-0.6526652421
1176	-0.6526517132
1177	-0.6526397516
1178	-0.6526267376
1179	-0.6526155496
1180	-0.6526041914
1181	-0.6525886481
1182	-0.6525685799
1183	-0.6525599045
1184	-0.6525482109
1185	-0.6525356987
1186	-0.6525220622
1187	-0.6525028406
1188	-0.6524889254
1189	-0.6524655938
1190	-0.6524475007
1191	-0.6524347949
1192	-0.6524210251
1193	-0.652410184
1194	-0.6524023885
1195	-0.6523890146
1196	-0.6523719002
1197	-0.6523596301
1198	-0.6523502291
1199	-0.6523396091
1200	-0.652327302
1201	-0.6523185865
1202	-0.6523093328
1203	-0.652295324
1204	-0.652284404
1205	-0.6522702787
1206	-0.6522471496
1207	-0.6522298491
1208	-0.6522104153
1209	-0.6521950855
1210	-0.652179089
1211	-0.6521711326
1212	-0.6521627412
1213	-0.6521511346
1214	-0.6521396125
1215	-0.6521281671
1216	-0.6521117282
1217	-0.6520945892
1218	-0.6520744978
1219	-0.6520604962
1220	-0.6520492421
1221	-0.6520378101
1222	-0.6520216436
1223	-0.6520093578
1224	-0.651993005
1225	-0.651979619
1226	-0.651967773
1227	-0.6519567238
1228	-0.6519443357
1229	-0.6519298391
1230	-0.6519056105
1231	-0.6518851671
1232	-0.6518639929
1233	-0.6518569681
1234	-0.6518459875
1235	-0.6518312953
1236	-0.6518158247
1237	-0.6517940979
1238	-0.6517835911
1239	-0.6517695712
1240	-0.6517607174
1241	-0.651750236
1242	-0.6517380737
1243	-0.6517161079
1244	-0.6516980805
1245	-0.651688456
1246	-0.6516711841
1247	-0.6516587954
1248	-0.6516492644
1249	-0.6516315213
1250	-0.6516136647
1251	-0.651600253
1252	-0.6515845096
1253	-0.6515738439
1254	-0.6515550404
1255	-0.6515321927
1256	-0.651508732
1257	-0.6514930107
1258	-0.651483351
1259	-0.6514757632
1260	-0.6514559527
1261	-0.6514458727
1262	-0.6514284249
1263	-0.6514126035
1264	-0.6513953296
1265	-0.6513870696
1266	-0.6513678826
1267	-0.6513559827
1268	-0.6513387775
1269	-0.6513112578
1270	-0.6512958856
1271	-0.6512759139
1272	-0.6512643985
1273	-0.6512518013
1274	-0.6512399769
1275	-0.6512268736
1276	-0.6512129501
1277	-0.651198677
1278	-0.6511847226
1279	-0.651170727
1280	-0.6511605475
1281	-0.6511463976
1282	-0.651139424
1283	-0.6511277545
1284	-0.6511194748
1285	-0.6511110122
1286	-0.6510944428
1287	-0.6510840445
1288	-0.651070201
1289	-0.6510588262
1290	-0.6510475238
1291	-0.6510389542
1292	-0.6510287343
1293	-0.6510168813
1294	-0.6509931631
1295	-0.6509848146
1296	-0.6509623898
1297	-0.6509452035
1298	-0.6509326273
1299	-0.6509205952
1300	-0.6509053591
1301	-0.6508908498
1302	-0.6508785565
1303	-0.6508666251
1304	-0.6508477864
1305	-0.6508364428
1306	-0.6508202271
1307	-0.6508059469
1308	-0.650792889
1309	-0.6507835343
1310	-0.6507639559
1311	-0.6507546091
1312	-0.6507432097
1313	-0.6507350702
1314	-0.6507161394
1315	-0.6507050655
1316	-0.6506915896
1317	-0.6506743538
1318	-0.6506679756
1319	-0.6506593029
1320	-0.6506488832
1321	-0.6506366986
1322	-0.6506228258
1323	-0.6506099058
1324	-0.650593908
1325	-0.6505807429
1326	-0.6505669996
1327	-0.6505558907
1328	-0.6505434144
1329	-0.6505277958
1330	-0.6505109536
1331	-0.6504982986
1332	-0.6504878644
1333	-0.6504766338
1334	-0.6504624261
1335	-0.6504547266
1336	-0.6504425679
1337	-0.6504258747
1338	-0.6504177284
1339	-0.650409631
1340	-0.6503936377
1341	-0.6503769069
1342	-0.6503650599
1343	-0.6503490634
1344	-0.6503337411
1345	-0.6503167122
1346	-0.6503043244
1347	-0.650288889
1348	-0.6502685369
1349	-0.6502570759
1350	-0.6502499017
1351	-0.650239289
1352	-0.6502240211
1353	-0.6502108789
1354	-0.6501952579
1355	-0.6501802355
1356	-0.6501593987
1357	-0.6501456344
1358	-0.6501353691
1359	-0.6501122269
1360	-0.6500975823
1361	-0.6500818621
1362	-0.6500719396
1363	-0.6500584934
1364	-0.6500455176
1365	-0.6500350599
1366	-0.6500244084
1367	-0.6500095881
1368	-0.6499987124
1369	-0.6499857945
1370	-0.6499773184
1371	-0.6499677865
1372	-0.6499579567
1373	-0.6499479964
1374	-0.6499306585
1375	-0.6499172188
1376	-0.6499010877
