iter	Passed	Remaining
399	47555	428000
400	47634	427522
401	47720	427109
402	47863	427210
403	47978	427058
404	48050	426520
405	48156	426290
406	48230	425775
407	48293	425173
408	48402	424971
409	48521	424860
410	48615	424529
411	48701	424126
412	48812	423946
413	48901	423580
414	48972	423052
415	49072	422777
416	49196	422710
417	49291	422398
418	49419	422368
419	49528	422168
420	49606	421711
421	49717	421537
422	49795	421084
423	49872	420626
424	50024	420795
425	50094	420276
426	50169	419805
427	50275	419585
428	50394	419482
429	50500	419272
430	50617	419149
431	50717	418885
432	50834	418764
433	50914	418341
434	51043	418320
435	51101	417717
436	51181	417296
437	51311	417288
438	51394	416894
439	51470	416441
440	51593	416377
441	51675	415979
442	51777	415736
443	51906	415722
444	51992	415357
445	52061	414861
446	52148	414506
447	52246	414242
448	52334	413898
449	52461	413861
450	52542	413463
451	52646	413252
452	52778	413257
453	52855	412829
454	52922	412330
455	53044	412254
456	53130	411909
457	53208	411491
458	53329	411414
459	53414	411059
460	53492	410650
461	53616	410593
462	53713	410333
463	53789	409915
464	53871	409537
465	53969	409286
466	54075	409097
467	54160	408746
468	54262	408533
469	54363	408306
470	54447	407952
471	54551	407751
472	54671	407663
473	54745	407238
474	54810	406752
475	54933	406695
476	55019	406359
477	55096	405961
478	55215	405875
479	55293	405483
480	55421	405467
481	55513	405179
482	55624	405033
483	55726	404825
484	55807	404463
485	55927	404380
486	56010	404032
487	56111	403817
488	56235	403768
489	56336	403550
490	56397	403050
491	56485	402747
492	56593	402584
493	56674	402229
494	56802	402209
495	56885	401869
496	56985	401649
497	57116	401651
498	57187	401231
499	57271	400903
500	57378	400736
501	57466	400434
502	57573	400265
503	57676	400073
504	57735	399575
505	57802	399134
506	57889	398831
507	58004	398725
508	58085	398381
509	58181	398145
510	58251	397730
511	58338	397431
512	58442	397251
513	58515	396860
514	58617	396661
515	58736	396585
516	58841	396411
517	58909	395986
518	59053	396076
519	59145	395817
520	59243	395599
521	59370	395574
522	59440	395172
523	59520	394835
524	59649	394820
525	59720	394429
526	59816	394199
527	59940	394156
528	60038	393940
529	60128	393674
530	60277	393792
531	60356	393451
532	60468	393330
533	60588	393258
534	60678	392992
535	60760	392675
536	60860	392478
537	60965	392308
538	61072	392153
539	61163	391899
540	61264	391704
541	61362	391498
542	61441	391164
543	61543	390979
544	61660	390893
545	61747	390616
546	61832	390321
547	61977	390414
548	62077	390216
549	62157	389899
550	62266	389761
551	62368	389576
552	62438	389194
553	62579	389256
554	62697	389177
555	62790	388941
556	62903	388826
557	63022	388750
558	63125	388575
559	63205	388263
560	63320	388160
561	63400	387847
562	63486	387573
563	63635	387677
564	63733	387477
565	63828	387257
566	63931	387085
567	64033	386904
568	64144	386781
569	64245	386597
570	64343	386401
571	64436	386167
572	64520	385881
573	64648	385861
574	64720	385510
575	64799	385199
576	64910	385073
577	65003	384844
578	65088	384571
579	65190	384396
580	65284	384177
581	65362	383866
582	65491	383849
583	65585	383629
584	65656	383277
585	65785	383260
586	65862	382942
587	65961	382758
588	66040	382450
589	66145	382299
590	66230	382030
591	66323	381808
592	66425	381639
593	66535	381515
594	66661	381480
595	66795	381493
596	66872	381185
597	66957	380919
598	67065	380783
599	67172	380642
600	67258	380387
601	67389	380382
602	67465	380066
603	67567	379898
604	67662	379692
605	67761	379507
606	67831	379163
607	67978	379246
608	68080	379079
609	68145	378711
610	68244	378525
611	68341	378333
612	68417	378026
613	68510	377814
614	68600	377579
615	68685	377322
616	68808	377278
617	68911	377117
